NVDA	NVIDIA Corporation
1491	CHUGAI MINING CO
1848	FUJI P.S CORPORATION
3625	TECHFIRM HOLDINGS INC
5729	NIHON SEIKO CO LTD
6577	BESTONE.COM CO LTD
4440	WITZ CORPORATION
5134	POPER CO LTD
3540	C.I.MEDICAL CO LTD
7318	SERENDIP HOLDINGS CO LTD
5075	UPCON CORP
9247	TRE HLDGS CORP
3475	GOOD COM ASSET CO LTD
9252	LAST ONE MILE CO LTD
3489	FAITHNETWORK CO LTD
1450	TANAKEN INC
7377	DN HLDGS CO LTD
6819	IZU SHABOTEN RESORT CO LTD
3046	JINS HOLDINGS INC
6080	M&A CAPITAL PARTNERS CO LTD
8996	HOUSEFREEDOM CO.LTD
5139	OPENWORK INC
5025	MERCURY INC
9338	INFORICH INC
5248	TECHNOLOGIES INC
7408	JAMCO CORPORATION
3384	ARKCORE INC.
2991	LANDNET INC
4691	WASHINGTON HOTEL CORPORATION
9603	H.I.S. CO LTD
4346	NEXYZ GROUP CORPORATION
8136	SANRIO CO LTD
1777	KAWASAKI SETSUBI KOGYO CO. LTD.
4335	IPS CO LTD
5592	KUSURINOMADOGUCHI INC
6562	GENIEE INC
7685	BUYSELL TECHNOLOGIES CO LTD
4054	NIHON JYOHO CREATE CO LTD
5028	SECONDXIGHT ANALYTICA INC.
6871	MICRONICS JAPAN CO
3498	KASUMIGASEKI CAPITAL CO LTD
6580	WRITEUP CO LTD
4389	PROPERTY DATA BANK INC
3299	MUGEN ESTATE CO LTD
3675	CROSS MARKETING GROUP INC
6101	TSUGAMI CORP
2998	CREAL INC
3640	DENSAN CO LTD
4369	TRI CHEMICAL LABORATORIES INC.
4386	SIG GROUP CO LTD
9242	MEDIA RESEARCH INSTITUTE INC
3399	MARUCHIYO YAMAOKA CORP
6045	RENTRACKS CO LTD
9249	JAPAN ECOSYSTEM CO LTD
7091	LIVING PLATFORM LTD
1980	DAI-DAN CO LTD
3660	ISTYLE INC
6578	CORREC HOLDINGS INC
6560	LTS INC
5858	STG CO LTD
5036	JAPAN BUSINESS SYSTEMS INC
4498	CYBERTRUST JAPAN CO LTD
6383	DAIFUKU CO LTD
7638	NEW ART HOLDINGS CO LTD
1418	INTERLIFE HLDG CO LTD
3962	CHANGE HOLDINGS INC
2884	YOSHIMURA FOOD HOLDINGS KK
6554	SUS CO LTD
5803	FUJIKURA
2981	LANDIX INC
3565	ASCENTECH K K
3538	WILLPLUS HOLDINGS CORPORATION
3671	SOFTMAX CO LTD
9214	RECOVERY INTERNATIONAL CO LTD
6016	JAPAN ENGINE CORPORATION
4776	CYBOZU INC
3563	FOOD & LIFE COMPANIES LTD
7867	TOMY COMPANY LTD
4374	ROBOT PAYMENT INC
9556	INTLOOP INC
7453	RYOHIN KEIKAKU CO
3486	GLOBAL LINK MANAGEMENT INC
7133	HYUGA PRIMARY CARE CO LTD
7699	OMNI-PLUS SYSTEM LTD
3300	AMBITION DX HOLDINGS CO LTD
6507	SINFONIA TECHNOLOGY CO LTD
7353	KIYO LEARNING CO LTD
9337	TORIDORI INC
9225	BRIDGE CONSULTING GROUP INC
1662	JAPAN PETROLEUM EXPLORATION CO LTD
9560	PROGRIT INC
5138	REBASE INC
6525	KOKUSAI ELECTRIC CORPORATION
7137	GRANTOMATO COMPANY LTD
9211	F CODE INC
6266	TAZMO CO LTD
3484	INNOVATION HOLDINGS CO LTD
8769	ADVANTAGE RISK MANAGEMENT CO. LTD
4475	HENNGE K K
5885	GDEP ADVANCE INC
7936	ASICS CORP
6424	TAKAMISAWA CYBERNETICS CO LTD
8035	TOKYO ELECTRON
5842	INTEGRAL CORPORATION
3076	AI HOLDINGS CORPORATION
2975	STAR MICA HLDGS CO
4568	DAIICHI SANKYO COMPANY LIMITED
6146	DISCO CORPORATION
9554	AVIC CO LTD
5038	EWELL CO LTD
5838	RAKUTEN BANK LTD
4431	SMAREGI INC
7409	AEROEDGE CO LTD
9467	ALPHAPOLIS CO LTD
4107	ISE CHEMICALS CORP
9706	JAPAN AIRPORT TERMINAL CO
6195	HOPE INC
4415	BROAD ENTERPRISE CO LTD
7735	SCREEN HOLDINGS CO LTD
7373	AIDMA HOLDINGS INC
2146	UT GROUP CO LTD
4058	TOYOKUMO INC
3798	ULS GROUP INC
4685	RYOYU SYSTEMS CO LTD
6269	MODEC INC(JAPAN)
3143	O WILL CORPORATION
9564	FCE INC
2970	GOOD LIFE CO INC
5284	YAMAU HOLDINGS CO LTD
4439	TOUMEI CO LTD
8704	TRADERS HOLDINGS
3496	AZOOM CO LTD
6061	UNIVERSAL ENGEISHA CO LTD
4783	NCD CO LTD
3452	B-LOT COMPANY LIMITED
4261	ASIAQUEST CO LTD
6088	SIGMAXYZ HOLDINGS INC
6561	HANATOUR JAPAN CO LTD
5253	COVER CORPORATION
3916	DIGITAL INFORMATION TECHNOLOGIES CO
4570	IMMUNO-BIOLOGICAL LABORATORIES CO
5032	ANYCOLOR INC
2986	LA HOLDINGS CO LTD
6184	KAMAKURA SHINSHO LTD
7014	NAMURA SHIPBUILDING CO
6777	SANTEC HOLDINGS CORPORATION
6040	NIPPON SKI RESORT DEV CO LTD
2323	FONFUN CORPORATION
7094	NEXTONE INC
3465	KI-STAR REAL ESTATE CO LTD
4396	SYSTEM SUPPORT HOLDINGS INC
4377	ONE CAREER INC
4495	I CUBED SYSTEMS INC
5254	ARENT INC
6255	NPC INCORPORATED
5575	GLOBEE INC
7832	BANDAI NAMCO HOLDINGS INC
7550	ZENSHO HOLDINGS CO LTD
5344	MARUWA CO LTD
9766	KONAMI GROUP CORPORATION
7033	MANAGEMENT SOLUTIONS CO LTD
7059	COPRO-HOLDINGS CO LTD
4519	CHUGAI PHARMACEUTICAL CO
6254	NOMURA MICRO SCIENCE CO LTD
7320	SOLVVY INC
3687	FIXSTARS CORPORATION
3021	PACIFIC NET CO. LTD
7608	SK JAPAN CO LTD
2303	DAWN CORP
6549	DM SOLUTIONS CO LTD
3741	SYSTEMS ENGINEERING CONSULTANTS CO
7148	FINANCIAL PARTNERS GROUP CO LTD
6231	KIMURA KOHKI CO LTD
3093	TREASURE FACTORY CO LTD
6323	RORZE CORP
7906	YONEX CO LTD
3939	KANAMIC NETWORK CO LTD
9163	NARERU GROUP INC
3964	AUCNET INC
6224	JRC CO LTD
4071	PLUS ALPHA CONSULTING CO LTD
4768	OTSUKA CORPORATION
6590	SHIBAURA MECHATRONICS CO
6037	RAKUMACHI INC
4430	TOKAI SOFT CO LTD
7599	IDOM INC
9388	PAPANETS CO LTD
3989	SHARINGTECHNOLOGY INC
AMAL	AMAL LTD.
TRANSVOY	TRANSVOY LOGISTICS INDIA LIMIT
ASCENSIVE	ASCENSIVE EDUCARE LIMITED
MRP	MRP AGRO LIMITED
TIGERLOGS	TIGER LOGISTICS (INDIA) LTD
LAXMIPATI	LAXMIPATI ENGINEERING WORKS LI
DOLPHIN	DOLPHIN OFF ENT (IND) L
PADAMCO	PADAM COTTON YARNS LTD.
SHAH	SHAH METACORP LTD
TRL	TAYLORMADE RENEWABLES LIMITED
SOLEX	SOLEX ENERGY LTD
BHARTIARTL	BHARTI AIRTEL LTD
SHREERAMA	SHREE RAMA MULTI TECH LTD
STARLENT	STARLINEPS ENTERPRISES LIMITED
EPIC	EPIC ENERGY LTD.
CHALLANI	CHALLANI CAPITAL LIMITED
TEMBO	TEMBO GLOBAL IND LTD
GARGI	PNGS GARGI FASHION JEWELLERY L
CROWN	CROWN LIFTERS LTD
HPCOTTON	H.P.COTTON TEXTILE MILLS LTD.
OLATECH	OLATECH SOLUTIONS LIMITED
BRADYM	BRADY & MORRIS ENGINEERING CO.
WHBRADY	W.H.BRADY & CO.LTD.
SHAKTIPUMP	SHAKTI PUMPS (I) LTD
VINCOFE	VINTAGE COFFEE N BVRGS L
MORGAN	MORGAN VENTURES LTD.
SKYGOLD	SKY GOLD AND DIAMONDS LTD
FRONTSP	FRONTIER SPRINGS LTD.
NATIONALUM	NATIONAL ALUMINIUM CO LTD
SWASTIKA	SWASTIKA INVESTMART LTD.
BIRLAMONEY	ADITYA BIRLA MONEY LTD
KCEIL	KAY CEE ENERGY & INFRA L
ARVSMART	ARVIND SMARTSPACES LTD
BRIDGESE	BRIDGE SECURITIES LTD.
JAGSNPHARM	JAGSONPAL PHARMACEUTICALS
BLUECLOUDS	BLUE CLOUD SOFTECH SOLUTIONS L
CONSTRONIC	CONSTRONICS INFRA LIMITED
JMJFIN	JMJ FINTECH LIMITED
SHRADDHA	SHRADDHA PRIME PROJECTS LTD
SELAN	SELAN EXPLO. TECH LTD
INDOUS	INDO US BIOTECH LTD
ARROWGREEN	ARROW GREENTECH LTD
KRISHANA	KRISHANA PHOSCHEM LTD
DEEPAKFERT	DEEPAK FERTILIZERS & PETR
RMC	RMC SWITCHGEARS LIMITED
WOMANCART	WOMANCART LTD
KPGEL	KP GREEN ENGINEERING LIMITED
FORCEMOT	FORCE MOTORS LTD
PRIMESECU	PRIME SECURITIES LTD
SAHANA	SAHANA SYSTEM LTD
ROBU	MACFOS LIMITED
KPEL	K.P. ENERGY LTD
ARYAMAN	ARYAMAN FINANCIAL SERVICES LTD
HECPROJECT	HEC INFRA PROJECTS LTD
IRISDOREME	IRIS CLOTHINGS LTD
CONTROLPR	CONTROL PRINT LTD
SYNCOMF	SYNCOM FORMU (I) LTD
SONUINFRA	SONU INFRATECH LTD
EXHICON	EXHICON EVENTS MEDIA SOLUTIONS
GOKULAGRO	GOKUL AGRO RESOURCES LTD
POEL	POCL ENTERPRISES LTD
DPABHUSHAN	D. P. ABHUSHAN LTD
EPIGRAL	EPIGRAL LIMITED
ZODIAC	ZODIAC ENERGY LTD
EMKAYTOOLS	EMKAY TAP & CUT. TOOL LTD
MARCO	MARCO CABLE & CONDUCTOR L
SAHAJSOLAR	SAHAJ SOLAR LTD
KPIGREEN	KPI GREEN ENERGY LTD
SIDDHIKA	SIDDHIKA COATINGS LTD
KKCL	KEWAL KIRAN CLOTHING LTD
TANFACIND	TANFAC INDUSTRIES LTD.
KPL	KWALITY PHARMACEUTICALS LIMITE
RESGEN	RESGEN LIMITED
CNCRD	CONCORD CONTROL SYSTEMS LIMITE
CEINSYSTECH	CEINSYS TECH LIMITED
BLS	BLS INTL SERVS LTD
CONTPTR	CONTINENTAL PETROLEUMS LTD.
SHILCTECH	SHILCHAR TECHNOLOGIES LTD.
ALSL	ALACRITY SECURITIES LTD
DYCL	DYNAMIC CABLES LTD
MALLCOM	MALLCOM (INDIA) LTD
SUPRIYA	SUPRIYA LIFESCIENCE LTD
KIRLPNU	KIRLOSKAR PNEUMATIC COM L
BEMHY	BEMCO HYDRAULICS LTD.
ASALCBR	ASSO ALCOHOLS & BREW LTD
DODLA	DODLA DAIRY LTD
FIDEL	FIDEL SOFTECH LTD
ALLETEC	ALL E TECHNOLOGIES LTD
TARACHAND	TARA CHAND INFRA SOLN LTD
FROG	FROG CELLSAT LTD
RBZJEWEL	RBZ JEWELLERS LTD
REFEX	REFEX INDUSTRIES LTD
TDPOWERSYS	TD POWER SYSTEMS LTD.
MADHUSUDAN	MADHUSUDAN MASALA LTD
IRIS	IRIS BUSINESS SERV LTD
INFOLLION	INFOLLION RESEARCH SER L
BANCOINDIA	BANCO PRODUCTS (I) LTD
SYMPHONY	SYMPHONY LTD
ASKAUTOLTD	ASK AUTOMOTIVE LTD
KPITTECH	KPIT TECHNOLOGIES LTD
REFRACTORY	REFRACTORY SHAPES LTD
AISL	ANI INTEGRATED SERV LTD.
SBC	SBC EXPORTS LTD
NDRAUTO	NDR AUTO COMPONENTS LTD
SONATSOFTW	SONATA SOFTWARE LTD
GABRIEL	GABRIEL INDIA LTD
INDIASHLTR	INDIA SHELTER FIN CORP L
PGIL	PEARL GLOBAL IND LTD
INDOTECH	INDO TECH TRANSFORM LTD.
LKPSEC	LKP SECURITIES LIMITED
ITDCEM	ITD CEMENTATION INDIA LTD
PIXTRANS	PIX TRANSMISSIONS LTD
SJS	SJS ENTERPRISES LTD
SILVERTUC	SILVER TOUCH TECHNO LTD
CARERATING	CARE RATINGS LTD
UNIVASTU	UNIVASTU INDIA LTD
STYRENIX	STYRENIX PERFORMANCE LTD
HINDZINC	HINDUSTAN ZINC LTD
CAMS	COMPUTER AGE MNGT SER LTD
GPTINFRA	GPT INFRAPROJECTS LTD
RATNAVEER	RATNAVEER PRECISION ENG L
SUNDARMFIN	SUNDARAM FINANCE LTD
BHARATSE	BHARAT SEATS LTD
ALLDIGI	ALLDIGI TECH LTD
GOLDIAM	GOLDIAM INTERNATIONAL LTD
SHRIRAMFIN	SHRIRAM FINANCE LTD
ICICIGI	ICICI LOMBARD GIC LTD
FIVESTAR	FIVE-STAR BUS FIN LTD
VMARCIND	V MARC INDIA LTD
JSWINFRA	JSW INFRASTRUCTURE LTD
HUDCO	HSG & URBAN DEV CORPN LTD
POWERMECH	POWER MECH PROJECTS LTD.
GRAVITA	GRAVITA INDIA LTD
JASH	JASH ENGINEERING LTD
ATISHAY	ATISHAY LIMITED
HDFCAMC	HDFC AMC LTD
MPSLTD	MPS LTD
LUMAXIND	LUMAX INDUSTRIES LTD
IREDA	INDIAN RENEWABLE ENERGY
DHANUKA	DHANUKA AGRITECH LTD
HOMEFIRST	HOME FIRST FIN CO IND LTD
CCL	CCL PRODUCTS (I) LTD
PRECWIRE	PRECISION WIRES INDIA LTD
CHOLAFIN	CHOLAMANDALAM IN & FIN CO
RESPONIND	RESPONSIVE INDUSTRIES LTD
APTUS	APTUS VALUE HSG FIN I LTD
CHOLAHLDNG	CHOLAMANDALAM FIN HOL LTD
MUTHOOTFIN	MUTHOOT FINANCE LTD
IEX	INDIAN ENERGY EXC LTD
PITTIENG	PITTI ENGINEERING LTD
DMR	DMR HYDROENGINEERING & INFRAST
RAILTEL	RAILTEL CORP OF IND LTD
GODFRYPHLP	GODFREY PHILLIPS INDIA LTD
MARKSANS	MARKSANS PHARMA LTD
KARURVYSYA	KARUR VYSYA BANK LTD
SWARAJENG	SWARAJ ENGINES LTD
VISHNU	VISHNU CHEMICALS LTD
AEL	AMBA ENTERPRISES LTD.
AEROFLEX	AEROFLEX INDUSTRIES LTD
TINNARUBR	TINNA RUBBER AND INFR LTD
ABSLAMC	ADIT BIRL SUN LIF AMC LTD
PRICOLLTD	PRICOL LTD
BEDMUTHA	BEDMUTHA INDUST LTD
AURIONPRO	AURIONPRO SOLN LTD
ZYDUSLIFE	ZYDUS LIFESCIENCES LTD
CANTABIL	CANTABIL RETAIL LTD
DISAQ	DISA INDIA LTD.
PFC	POWER FIN CORP LTD.
QGO	QGO FINANCE LIMITED
SKPSEC	SKP SECURITIES LTD.
RITCO	RITCO LOGISTICS LTD
SMHN	SUESS MICROTEC SE
FRS	FORIS AG
EIN	EINHELL GERMANY AG
HOT	HOCHTIEF AG
A0M2DF	Vilkyskiu Pienine AB
IPOK	HEIDEL.BETEIL.HLDG O.N.
PSG	PHARMASGP HOLDING SE
MID.UN	MINT INCOME FUND
SOIL	SATURN OIL & GAS INC
INC.UN	INCOME FINANCIAL TRUST
KNT	K92 MNG INC
EIT.UN	CANOE EIT INCOME FD
IMG	IAMGOLD CORP
CJT	CARGOJET INC
LFE	CANADIAN LIFE COS SPLIT CORP
RBY	RUBELLITE ENERGY CORP.
DGS	DIVIDEND GROWTH SPLIT CORP
VLE	VALEURA ENERGY INC
DCBO	DOCEBO INC
PNG	KRAKEN ROBOTICS INC
GDV	GLOBAL DIVIDEND GROWTH SPLIT CORP
ATZ	ARITZIA INC
LOVE	CANNARA BIOTECH INC
QBTC	3IQ CORP
AFM	ALPHAMIN RES CORP
YEG	YORKTON EQUITY GROUP INC
RBN.UN	BLUE RIBBON INCOME FUND
PNP	PINETREE CAPITAL LTD
GDC	GENESIS LAND DEVELOPMENT CORP
CGI	CANADIAN GENERAL INVESTMENTS
LPC	LORNE PK CAPITAL PARTNERS INC
ORE	OREZONE GOLD CORP
FTG	FIRAN TECHNOLOGY GROUP CORPORATION
MHC.U	FLAGSHIP CMNTYS REAL ESTATE INVT TR
MEQ	MAINSTREET EQUITY CORP
VNP	5N PLUS INC
BDT	BIRD CONSTRUCTION INC
BRM	BIOREM INC
WFC	WALL FINANCIAL CORP
TVK	TERRAVEST INDUSTRIES INC
TGH	TORNADO INFRASTRUCTURE EQUPMNT LTD
FFH	FAIRFAX FINANCIAL HLDGS LTD
133	CHINA MERCHANTS CHINA DIRECT INV
1808	ENTERPRISE DEVELOPMENT HOLDINGS LTD
175	GEELY AUTOMOBILE HOLDINGS LIMITED
8603	FAMEGLOW HOLDINGS LTD
2490	LC LOGISTICS INC
1235	TRAVEL EXPERT(ASIA) ENTERPRISES LTD
8326	TONKING NEW ENERGY GROUP HLDGS LTD
1415	COWELL E HOLDINGS INC
1729	TIME INTERCONNECT TECH LTD
2209	YESASIA HOLDINGS LTD
2488	LAUNCH TECH CO LTD
1357	MEITU INC
1925	KWUNGS AROMA HOLDINGS LTD
316	ORIENT OVERSEAS INT
2111	BEST PACIFIC INTL HOLDINGS LIMITED
2145	SHANGHAI CHICMAX COSMETIC CO LTD
2245	LYGEND RESOURCES & TECHNOLOGY CO
1769	SCHOLAR EDUCATION GROUP
752	PICO FAR EAST HLDGS
2149	BATELAB CO LTD
2360	BEST MART 360 HLDGS LTD
8188	GME GROUP HLDGS LTD
3998	BOSIDENG INTERNATIONAL HLDGS
1985	MICROWARE GRP LTD
3692	HANSOH PHARMACEUTICAL GROUP CO LTD
992	LENOVO GROUP LIMITED
2283	TK GROUP (HOLDINGS) LIMITED
2663	KPA-BM HOLDINGS LTD
1184	S.A.S.DRAGON
388	HONG KONG EXCHANGES & CLEARING
1882	HAITIAN INTERNATIONAL HOLDINGS LTD
9985	WEILONG DELICIOUS GLOBAL HLDGS LTD
